,adjustment,cluster,indicator,spatial,i_ID,j_ID,i_innovation,j_innovation,i_metric,j_metric,i_description,j_description,t0,Dt,K,R_square,R_square_adj,R_square_weighted,time_lag,slope_ratio
0,Original data,digital,1.1,Brazil,Brazil - cloud computing & SaaS - International bandwith usage (Mb/s/cap) NORMALISED to sample MAX=1) - Mb/s/cap NORMALISED TO SAMPLE MAX,Brazil - cloud computing & SaaS - International bandwith usage (Mb/s/cap) NORMALISED to sample MAX=1) - Mb/s/cap NORMALISED TO SAMPLE MAX,cloud computing & SaaS,cloud computing & SaaS,Mb/s/cap NORMALISED TO SAMPLE MAX,Mb/s/cap NORMALISED TO SAMPLE MAX,International bandwith usage (Mb/s/cap) NORMALISED to sample MAX=1),International bandwith usage (Mb/s/cap) NORMALISED to sample MAX=1),2010.200172829885,2.2031521884550846,0.03996199208670431,0.885122001518676,0.8635823768034279,0.885122001518676,0.0,1.0
1,Original data,digital,1.1,Brazil,Brazil - digital (non-cash) payments - Individuals using internet banking (within last 3 months) - %,Brazil - cloud computing & SaaS - International bandwith usage (Mb/s/cap) NORMALISED to sample MAX=1) - Mb/s/cap NORMALISED TO SAMPLE MAX,digital (non-cash) payments,cloud computing & SaaS,%,Mb/s/cap NORMALISED TO SAMPLE MAX,Individuals using internet banking (within last 3 months),International bandwith usage (Mb/s/cap) NORMALISED to sample MAX=1),2019.1578823321809,8.195072056308556,51.30435863029885,0.9157138703576899,0.9069946155671061,0.33808392061008935,13.200000000000955,0.1030635780184517
2,Original data,digital,1.1,Brazil,Brazil - digital (non-cash) payments - Individuals using internet banking (within last 3 months) - %,Brazil - digital (non-cash) payments - Individuals using internet banking (within last 3 months) - %,digital (non-cash) payments,digital (non-cash) payments,%,%,Individuals using internet banking (within last 3 months),Individuals using internet banking (within last 3 months),2023.3517598269805,21.379423188057498,92.75033326391656,0.9782276973225472,0.9709702630967296,0.9782276973225472,0.0,1.0
3,Original data,digital,1.1,Brazil,Brazil - digital skills - aggregate of 3 time series: VoIP/messaging; content creation; programming - % of individuals doing activity X,Brazil - cloud computing & SaaS - International bandwith usage (Mb/s/cap) NORMALISED to sample MAX=1) - Mb/s/cap NORMALISED TO SAMPLE MAX,digital skills,cloud computing & SaaS,% of individuals doing activity X,Mb/s/cap NORMALISED TO SAMPLE MAX,aggregate of 3 time series: VoIP/messaging; content creation; programming,International bandwith usage (Mb/s/cap) NORMALISED to sample MAX=1),2019.875334039102,16.137359351750522,50.79382634427535,0.7516049289024527,0.7283178909870576,0.19316503972631857,17.000000000000455,0.0560369033293221
4,Original data,digital,1.1,Brazil,Brazil - digital skills - aggregate of 3 time series: VoIP/messaging; content creation; programming - % of individuals doing activity X,Brazil - digital (non-cash) payments - Individuals using internet banking (within last 3 months) - %,digital skills,digital (non-cash) payments,% of individuals doing activity X,%,aggregate of 3 time series: VoIP/messaging; content creation; programming,Individuals using internet banking (within last 3 months),2029.598277806534,32.96582620789086,135.22989694567232,0.9090971899951126,0.8981888527945261,0.8925903946509703,3.7999999999994998,0.5437119922160056
5,Original data,digital,1.1,Brazil,Brazil - digital skills - aggregate of 3 time series: VoIP/messaging; content creation; programming - % of individuals doing activity X,Brazil - digital skills - aggregate of 3 time series: VoIP/messaging; content creation; programming - % of individuals doing activity X,digital skills,digital skills,% of individuals doing activity X,% of individuals doing activity X,aggregate of 3 time series: VoIP/messaging; content creation; programming,aggregate of 3 time series: VoIP/messaging; content creation; programming,2027.184054007372,39.321869814012246,90.53476789897807,0.9661851714665767,0.9577314643332209,0.9661851714665767,0.0,1.0
6,Original data,digital,1.1,Brazil,Brazil - e-commerce - Individuals purchasing or ordering goods or services - %,Brazil - cloud computing & SaaS - International bandwith usage (Mb/s/cap) NORMALISED to sample MAX=1) - Mb/s/cap NORMALISED TO SAMPLE MAX,e-commerce,cloud computing & SaaS,%,Mb/s/cap NORMALISED TO SAMPLE MAX,Individuals purchasing or ordering goods or services,International bandwith usage (Mb/s/cap) NORMALISED to sample MAX=1),2018.4159757874388,10.349263812435773,45.835988902495195,0.8089993695246654,0.7885350162594511,0.20234385099795688,7.600000000000364,0.09589851584436423
7,Original data,digital,1.1,Brazil,Brazil - e-commerce - Individuals purchasing or ordering goods or services - %,Brazil - digital (non-cash) payments - Individuals using internet banking (within last 3 months) - %,e-commerce,digital (non-cash) payments,%,%,Individuals purchasing or ordering goods or services,Individuals using internet banking (within last 3 months),2022.130108164642,24.51009247326317,77.79158159489424,0.942188547903845,0.9339297690329657,0.938681975373574,-5.600000000000591,0.9304792021405982
8,Original data,digital,1.1,Brazil,Brazil - e-commerce - Individuals purchasing or ordering goods or services - %,Brazil - digital skills - aggregate of 3 time series: VoIP/messaging; content creation; programming - % of individuals doing activity X,e-commerce,digital skills,%,% of individuals doing activity X,Individuals purchasing or ordering goods or services,aggregate of 3 time series: VoIP/messaging; content creation; programming,2020.707269902165,29.763575419197064,63.27994225232955,0.9467150821959299,0.9400544674704212,0.9436967270919843,-9.400000000000091,1.7113457408733002
9,Original data,digital,1.1,Brazil,Brazil - e-commerce - Individuals purchasing or ordering goods or services - %,Brazil - e-commerce - Individuals purchasing or ordering goods or services - %,e-commerce,e-commerce,%,%,Individuals purchasing or ordering goods or services,Individuals purchasing or ordering goods or services,2017.796648619219,22.975836010410216,53.61916933215862,0.9743855978700815,0.9647801970713621,0.9743855978700815,0.0,1.0
10,Original data,digital,1.1,Brazil,Brazil - e-government - Taking part in online consultations or voting to define civic or political issues (% of individuals in last 3 months) - %,Brazil - cloud computing & SaaS - International bandwith usage (Mb/s/cap) NORMALISED to sample MAX=1) - Mb/s/cap NORMALISED TO SAMPLE MAX,e-government,cloud computing & SaaS,%,Mb/s/cap NORMALISED TO SAMPLE MAX,Taking part in online consultations or voting to define civic or political issues (% of individuals in last 3 months),International bandwith usage (Mb/s/cap) NORMALISED to sample MAX=1),2019.9286049186799,2.640385584934479,7.907900362918062,0.9999157845714428,0.9999017486666832,0.09090908583281668,,
11,Original data,digital,1.1,Brazil,Brazil - e-government - Taking part in online consultations or voting to define civic or political issues (% of individuals in last 3 months) - %,Brazil - digital (non-cash) payments - Individuals using internet banking (within last 3 months) - %,e-government,digital (non-cash) payments,%,%,Taking part in online consultations or voting to define civic or political issues (% of individuals in last 3 months),Individuals using internet banking (within last 3 months),2038.4359192810193,35.55458289062279,269.9936675083178,0.47640571803475573,0.33360727749878005,0.7112490075343811,,
12,Original data,digital,1.1,Brazil,Brazil - e-government - Taking part in online consultations or voting to define civic or political issues (% of individuals in last 3 months) - %,Brazil - digital skills - aggregate of 3 time series: VoIP/messaging; content creation; programming - % of individuals doing activity X,e-government,digital skills,%,% of individuals doing activity X,Taking part in online consultations or voting to define civic or political issues (% of individuals in last 3 months),aggregate of 3 time series: VoIP/messaging; content creation; programming,2015.2855472137303,32.786753820974994,36.87186336147819,0.3493199869726614,0.20988855560966024,0.6685427041065535,,
13,Original data,digital,1.1,Brazil,Brazil - e-government - Taking part in online consultations or voting to define civic or political issues (% of individuals in last 3 months) - %,Brazil - e-commerce - Individuals purchasing or ordering goods or services - %,e-government,e-commerce,%,%,Taking part in online consultations or voting to define civic or political issues (% of individuals in last 3 months),Individuals purchasing or ordering goods or services,2012.7062002684263,16.069498363994075,30.943545335990148,0.34850930321096363,0.15306209417425265,0.6175603436761017,,
14,Original data,digital,1.1,Brazil,Brazil - email - Individuals who sent e-mails with attached files in the last 3 months - %,Brazil - cloud computing & SaaS - International bandwith usage (Mb/s/cap) NORMALISED to sample MAX=1) - Mb/s/cap NORMALISED TO SAMPLE MAX,email,cloud computing & SaaS,%,Mb/s/cap NORMALISED TO SAMPLE MAX,Individuals who sent e-mails with attached files in the last 3 months,International bandwith usage (Mb/s/cap) NORMALISED to sample MAX=1),2017.746484268718,14.61357924773892,34.91881135002345,0.6441745117118616,0.6060503522524181,0.0,431.5000000000007,0.010448756518251104
15,Original data,digital,1.1,Brazil,Brazil - email - Individuals who sent e-mails with attached files in the last 3 months - %,Brazil - digital (non-cash) payments - Individuals using internet banking (within last 3 months) - %,email,digital (non-cash) payments,%,%,Individuals who sent e-mails with attached files in the last 3 months,Individuals using internet banking (within last 3 months),2037.5614412535765,42.70842051872986,199.17952308619633,0.6661207418839881,0.6184237050102721,0.44114659481014157,418.2999999999997,0.10138165896375574
16,Original data,digital,1.1,Brazil,Brazil - email - Individuals who sent e-mails with attached files in the last 3 months - %,Brazil - digital skills - aggregate of 3 time series: VoIP/messaging; content creation; programming - % of individuals doing activity X,email,digital skills,%,% of individuals doing activity X,Individuals who sent e-mails with attached files in the last 3 months,aggregate of 3 time series: VoIP/messaging; content creation; programming,2031.3801882774678,54.00655404417243,93.87611586857986,0.7386917563771694,0.7060282259243156,0.5170026475662691,414.5000000000002,0.18646206156048675
17,Original data,digital,1.1,Brazil,Brazil - email - Individuals who sent e-mails with attached files in the last 3 months - %,Brazil - e-commerce - Individuals purchasing or ordering goods or services - %,email,e-commerce,%,%,Individuals who sent e-mails with attached files in the last 3 months,Individuals purchasing or ordering goods or services,2018.6443688566167,35.240925079738254,52.752869419633114,0.6685632869703968,0.6188477800159563,0.42841089741034616,423.9000000000003,0.10895639443689219
18,Original data,digital,1.1,Brazil,Brazil - email - Individuals who sent e-mails with attached files in the last 3 months - %,Brazil - e-government - Taking part in online consultations or voting to define civic or political issues (% of individuals in last 3 months) - %,email,e-government,%,%,Individuals who sent e-mails with attached files in the last 3 months,Taking part in online consultations or voting to define civic or political issues (% of individuals in last 3 months),1448.98703785619,-418.92151647513333,8795.73187843292,0.012632019880702616,-0.2835783741550866,0.0,,
19,Original data,digital,1.1,Brazil,Brazil - email - Individuals who sent e-mails with attached files in the last 3 months - %,Brazil - email - Individuals who sent e-mails with attached files in the last 3 months - %,email,email,%,%,Individuals who sent e-mails with attached files in the last 3 months,Individuals who sent e-mails with attached files in the last 3 months,2441.9404757436473,210.87439004576166,167422.66778775348,0.23889657612637205,-0.04651720782623836,0.23889657612637205,0.0,1.0
20,Original data,digital,1.1,Brazil,Brazil - household internet access - Fixed broadband subscriptions (per 100 people) - %,Brazil - cloud computing & SaaS - International bandwith usage (Mb/s/cap) NORMALISED to sample MAX=1) - Mb/s/cap NORMALISED TO SAMPLE MAX,household internet access,cloud computing & SaaS,%,Mb/s/cap NORMALISED TO SAMPLE MAX,Fixed broadband subscriptions (per 100 people),International bandwith usage (Mb/s/cap) NORMALISED to sample MAX=1),2021.8390856210647,22.909933469480112,0.4117374179694459,0.8366565611199108,0.8249891726284759,0.502712993256374,4.500000000000227,0.1085088247091857
21,Original data,digital,1.1,Brazil,Brazil - household internet access - Fixed broadband subscriptions (per 100 people) - %,Brazil - digital (non-cash) payments - Individuals using internet banking (within last 3 months) - %,household internet access,digital (non-cash) payments,%,%,Fixed broadband subscriptions (per 100 people),Individuals using internet banking (within last 3 months),2067.572974337158,20.16873039523048,482971.72594358923,0.4395542957091284,0.3915160924841965,0.07634813183485371,-8.700000000000728,1.0528338603746041
22,Original data,digital,1.1,Brazil,Brazil - household internet access - Fixed broadband subscriptions (per 100 people) - %,Brazil - digital skills - aggregate of 3 time series: VoIP/messaging; content creation; programming - % of individuals doing activity X,household internet access,digital skills,%,% of individuals doing activity X,Fixed broadband subscriptions (per 100 people),aggregate of 3 time series: VoIP/messaging; content creation; programming,2089.4805610722487,34.90862423646966,94889.83373083499,0.31688080565581,0.26295034294442654,0.0,-12.500000000000227,1.9363815318539725
23,Original data,digital,1.1,Brazil,Brazil - household internet access - Fixed broadband subscriptions (per 100 people) - %,Brazil - e-commerce - Individuals purchasing or ordering goods or services - %,household internet access,e-commerce,%,%,Fixed broadband subscriptions (per 100 people),Individuals purchasing or ordering goods or services,2080.5668921502593,27.21355087832332,267515.0949938502,0.3486893278695624,0.29122073915217084,0.0,-3.1000000000001364,1.131496392345498
24,Original data,digital,1.1,Brazil,Brazil - household internet access - Fixed broadband subscriptions (per 100 people) - %,Brazil - e-government - Taking part in online consultations or voting to define civic or political issues (% of individuals in last 3 months) - %,household internet access,e-government,%,%,Fixed broadband subscriptions (per 100 people),Taking part in online consultations or voting to define civic or political issues (% of individuals in last 3 months),2020.151427702197,0.23736781279055894,3.0524998738931406,0.37289670087689364,0.2945087884865054,0.0,,
25,Original data,digital,1.1,Brazil,Brazil - household internet access - Fixed broadband subscriptions (per 100 people) - %,Brazil - email - Individuals who sent e-mails with attached files in the last 3 months - %,household internet access,email,%,%,Fixed broadband subscriptions (per 100 people),Individuals who sent e-mails with attached files in the last 3 months,2012.2383488448186,0.21464258693480734,12.962495475104953,0.2964929302116477,0.23441877699502833,0.0,-427.00000000000045,10.384855319353134
26,Original data,digital,1.1,Brazil,Brazil - household internet access - Fixed broadband subscriptions (per 100 people) - %,Brazil - household internet access - Fixed broadband subscriptions (per 100 people) - %,household internet access,household internet access,%,%,Fixed broadband subscriptions (per 100 people),Fixed broadband subscriptions (per 100 people),2014.6593021298715,20.306550095066147,0.24294202453954178,0.9826859322178114,0.9803249229747857,0.9826859322178114,0.0,1.0
27,Original data,digital,1.1,Brazil,Brazil - mobile broadband - aggregate of 2 time series: 3G coverage; 4G coverage - % of population covered by at least a {3G/4G} mobile network (%),Brazil - cloud computing & SaaS - International bandwith usage (Mb/s/cap) NORMALISED to sample MAX=1) - Mb/s/cap NORMALISED TO SAMPLE MAX,mobile broadband,cloud computing & SaaS,% of population covered by at least a {3G/4G} mobile network (%),Mb/s/cap NORMALISED TO SAMPLE MAX,aggregate of 2 time series: 3G coverage; 4G coverage,International bandwith usage (Mb/s/cap) NORMALISED to sample MAX=1),2015.5546644466544,18.760451090905367,113.36982156557863,0.4662843259056617,0.41463442196104827,0.0,-1.6000000000003638,0.37103389490573613
28,Original data,digital,1.1,Brazil,Brazil - mobile broadband - aggregate of 2 time series: 3G coverage; 4G coverage - % of population covered by at least a {3G/4G} mobile network (%),Brazil - digital (non-cash) payments - Individuals using internet banking (within last 3 months) - %,mobile broadband,digital (non-cash) payments,% of population covered by at least a {3G/4G} mobile network (%),%,aggregate of 2 time series: 3G coverage; 4G coverage,Individuals using internet banking (within last 3 months),2024.0616689974522,-0.18916908785568456,58.53490444444526,0.003868476139871957,-0.12064796434264413,0.0,-14.800000000001319,3.600048649963512
29,Original data,digital,1.1,Brazil,Brazil - mobile broadband - aggregate of 2 time series: 3G coverage; 4G coverage - % of population covered by at least a {3G/4G} mobile network (%),Brazil - digital skills - aggregate of 3 time series: VoIP/messaging; content creation; programming - % of individuals doing activity X,mobile broadband,digital skills,% of population covered by at least a {3G/4G} mobile network (%),% of individuals doing activity X,aggregate of 2 time series: 3G coverage; 4G coverage,aggregate of 3 time series: VoIP/messaging; content creation; programming,2008.293388886375,10.009039678741845,59.23722395633812,0.04857936361752724,-0.057134040424969834,0.0,-18.60000000000082,6.62124194702935
30,Original data,digital,1.1,Brazil,Brazil - mobile broadband - aggregate of 2 time series: 3G coverage; 4G coverage - % of population covered by at least a {3G/4G} mobile network (%),Brazil - e-commerce - Individuals purchasing or ordering goods or services - %,mobile broadband,e-commerce,% of population covered by at least a {3G/4G} mobile network (%),%,aggregate of 2 time series: 3G coverage; 4G coverage,Individuals purchasing or ordering goods or services,2009.214344980193,3.0537470397022477,63.85355172714013,0.08995839932055127,-0.02874267902894201,0.0,-9.200000000000728,3.869026456133013
31,Original data,digital,1.1,Brazil,Brazil - mobile broadband - aggregate of 2 time series: 3G coverage; 4G coverage - % of population covered by at least a {3G/4G} mobile network (%),Brazil - e-government - Taking part in online consultations or voting to define civic or political issues (% of individuals in last 3 months) - %,mobile broadband,e-government,% of population covered by at least a {3G/4G} mobile network (%),%,aggregate of 2 time series: 3G coverage; 4G coverage,Taking part in online consultations or voting to define civic or political issues (% of individuals in last 3 months),2008.4935495392663,3.082038267887866,79.96102541859808,0.050689127175757576,-0.1683826127067598,0.0,,
32,Original data,digital,1.1,Brazil,Brazil - mobile broadband - aggregate of 2 time series: 3G coverage; 4G coverage - % of population covered by at least a {3G/4G} mobile network (%),Brazil - email - Individuals who sent e-mails with attached files in the last 3 months - %,mobile broadband,email,% of population covered by at least a {3G/4G} mobile network (%),%,aggregate of 2 time series: 3G coverage; 4G coverage,Individuals who sent e-mails with attached files in the last 3 months,2008.8494304065757,0.26594885352816044,59.56899230911391,0.0007180526948784571,-0.12962307086665925,0.0,-433.10000000000105,35.50986131772159
33,Original data,digital,1.1,Brazil,Brazil - mobile broadband - aggregate of 2 time series: 3G coverage; 4G coverage - % of population covered by at least a {3G/4G} mobile network (%),Brazil - household internet access - Fixed broadband subscriptions (per 100 people) - %,mobile broadband,household internet access,% of population covered by at least a {3G/4G} mobile network (%),%,aggregate of 2 time series: 3G coverage; 4G coverage,Fixed broadband subscriptions (per 100 people),2009.053061729045,3.1952411252037503,45.96142243786399,0.2169836937678965,0.15349588515448265,0.0,-6.100000000000591,3.4193891224989614
34,Original data,digital,1.1,Brazil,Brazil - mobile broadband - aggregate of 2 time series: 3G coverage; 4G coverage - % of population covered by at least a {3G/4G} mobile network (%),Brazil - mobile broadband - aggregate of 2 time series: 3G coverage; 4G coverage - % of population covered by at least a {3G/4G} mobile network (%),mobile broadband,mobile broadband,% of population covered by at least a {3G/4G} mobile network (%),% of population covered by at least a {3G/4G} mobile network (%),aggregate of 2 time series: 3G coverage; 4G coverage,aggregate of 2 time series: 3G coverage; 4G coverage,2008.5624260277825,5.938563158012291,93.11878077976853,0.9714219838315942,0.9636279794220289,0.9714219838315942,0.0,1.0
35,Original data,digital,1.1,Brazil,Brazil - mobile/cellphone - aggregate of 3 time series: subscriptions; phone use; phone ownership - % of individuals who own/use/subscribe mobile cellular telephone,Brazil - cloud computing & SaaS - International bandwith usage (Mb/s/cap) NORMALISED to sample MAX=1) - Mb/s/cap NORMALISED TO SAMPLE MAX,mobile/cellphone,cloud computing & SaaS,% of individuals who own/use/subscribe mobile cellular telephone,Mb/s/cap NORMALISED TO SAMPLE MAX,aggregate of 3 time series: subscriptions; phone use; phone ownership,International bandwith usage (Mb/s/cap) NORMALISED to sample MAX=1),2014.8872121599595,28.31896887567007,119.56341094030027,0.4386732237535774,0.40565400162143495,0.35815737885736815,-5.099999999999227,0.236176293622142
36,Original data,digital,1.1,Brazil,Brazil - mobile/cellphone - aggregate of 3 time series: subscriptions; phone use; phone ownership - % of individuals who own/use/subscribe mobile cellular telephone,Brazil - digital (non-cash) payments - Individuals using internet banking (within last 3 months) - %,mobile/cellphone,digital (non-cash) payments,% of individuals who own/use/subscribe mobile cellular telephone,%,aggregate of 3 time series: subscriptions; phone use; phone ownership,Individuals using internet banking (within last 3 months),2003.3435894170934,8.43887482537229,65.2287193123214,0.4540928803468459,0.41687194037049446,0.5347440382760854,-18.300000000000182,2.2915592313305755
37,Original data,digital,1.1,Brazil,Brazil - mobile/cellphone - aggregate of 3 time series: subscriptions; phone use; phone ownership - % of individuals who own/use/subscribe mobile cellular telephone,Brazil - digital skills - aggregate of 3 time series: VoIP/messaging; content creation; programming - % of individuals doing activity X,mobile/cellphone,digital skills,% of individuals who own/use/subscribe mobile cellular telephone,% of individuals doing activity X,aggregate of 3 time series: subscriptions; phone use; phone ownership,aggregate of 3 time series: VoIP/messaging; content creation; programming,2002.949891062053,7.745434693663953,60.159813024313415,0.38691149311815853,0.3477781841682538,0.4438181628238781,-22.09999999999968,4.21465640658554
38,Original data,digital,1.1,Brazil,Brazil - mobile/cellphone - aggregate of 3 time series: subscriptions; phone use; phone ownership - % of individuals who own/use/subscribe mobile cellular telephone,Brazil - e-commerce - Individuals purchasing or ordering goods or services - %,mobile/cellphone,e-commerce,% of individuals who own/use/subscribe mobile cellular telephone,%,aggregate of 3 time series: subscriptions; phone use; phone ownership,Individuals purchasing or ordering goods or services,2003.4991565696794,8.805360814384787,67.20393914456795,0.49132827144972546,0.45583954620203193,0.5678975255909129,-12.69999999999959,2.4627731883300217
39,Original data,digital,1.1,Brazil,Brazil - mobile/cellphone - aggregate of 3 time series: subscriptions; phone use; phone ownership - % of individuals who own/use/subscribe mobile cellular telephone,Brazil - e-government - Taking part in online consultations or voting to define civic or political issues (% of individuals in last 3 months) - %,mobile/cellphone,e-government,% of individuals who own/use/subscribe mobile cellular telephone,%,aggregate of 3 time series: subscriptions; phone use; phone ownership,Taking part in online consultations or voting to define civic or political issues (% of individuals in last 3 months),2004.4712915439134,7.829145744173806,86.30863080489605,0.773145391216313,0.7525222449632505,0.9070922867273229,,
40,Original data,digital,1.1,Brazil,Brazil - mobile/cellphone - aggregate of 3 time series: subscriptions; phone use; phone ownership - % of individuals who own/use/subscribe mobile cellular telephone,Brazil - email - Individuals who sent e-mails with attached files in the last 3 months - %,mobile/cellphone,email,% of individuals who own/use/subscribe mobile cellular telephone,%,aggregate of 3 time series: subscriptions; phone use; phone ownership,Individuals who sent e-mails with attached files in the last 3 months,2003.2770882356183,6.268542206379612,65.68540459900179,0.4857874788940685,0.4499121867238872,0.5556640756075428,-436.5999999999999,22.603291904601946
41,Original data,digital,1.1,Brazil,Brazil - mobile/cellphone - aggregate of 3 time series: subscriptions; phone use; phone ownership - % of individuals who own/use/subscribe mobile cellular telephone,Brazil - household internet access - Fixed broadband subscriptions (per 100 people) - %,mobile/cellphone,household internet access,% of individuals who own/use/subscribe mobile cellular telephone,%,aggregate of 3 time series: subscriptions; phone use; phone ownership,Fixed broadband subscriptions (per 100 people),2005.4006633903396,10.162454585487204,51.13938616651249,0.2408224421181573,0.20086572854542872,0.2086571462129039,-9.599999999999454,2.1765630054064045
42,Original data,digital,1.1,Brazil,Brazil - mobile/cellphone - aggregate of 3 time series: subscriptions; phone use; phone ownership - % of individuals who own/use/subscribe mobile cellular telephone,Brazil - mobile broadband - aggregate of 2 time series: 3G coverage; 4G coverage - % of population covered by at least a {3G/4G} mobile network (%),mobile/cellphone,mobile broadband,% of individuals who own/use/subscribe mobile cellular telephone,% of population covered by at least a {3G/4G} mobile network (%),aggregate of 3 time series: subscriptions; phone use; phone ownership,aggregate of 2 time series: 3G coverage; 4G coverage,2005.2607651195003,10.712903995773402,95.37036305446732,0.9726224957739695,0.970837006367924,0.8325999871592349,-3.499999999998863,0.6365356288598493
43,Original data,digital,1.1,Brazil,Brazil - mobile/cellphone - aggregate of 3 time series: subscriptions; phone use; phone ownership - % of individuals who own/use/subscribe mobile cellular telephone,Brazil - mobile/cellphone - aggregate of 3 time series: subscriptions; phone use; phone ownership - % of individuals who own/use/subscribe mobile cellular telephone,mobile/cellphone,mobile/cellphone,% of individuals who own/use/subscribe mobile cellular telephone,% of individuals who own/use/subscribe mobile cellular telephone,aggregate of 3 time series: subscriptions; phone use; phone ownership,aggregate of 3 time series: subscriptions; phone use; phone ownership,2005.1341132452862,9.329405635226038,97.80862737687919,0.9873739314972695,0.9861520539002311,0.9873739314972695,0.0,1.0
44,Original data,digital,1.1,Brazil,Brazil - personal computer - households with a computer - %,Brazil - cloud computing & SaaS - International bandwith usage (Mb/s/cap) NORMALISED to sample MAX=1) - Mb/s/cap NORMALISED TO SAMPLE MAX,personal computer,cloud computing & SaaS,%,Mb/s/cap NORMALISED TO SAMPLE MAX,households with a computer,International bandwith usage (Mb/s/cap) NORMALISED to sample MAX=1),2012.8774587507662,25.49081658360065,0.48532939129194214,0.37058247804945854,0.3221657455917245,0.0,-4.899999999998954,0.17895106297633367
45,Original data,digital,1.1,Brazil,Brazil - personal computer - households with a computer - %,Brazil - digital (non-cash) payments - Individuals using internet banking (within last 3 months) - %,personal computer,digital (non-cash) payments,%,%,households with a computer,Individuals using internet banking (within last 3 months),2068.7582219416527,20.61721753635688,503494.65916852746,0.4247518603458218,0.3708223472532426,0.0885380547851645,-18.09999999999991,1.7363171977621006
46,Original data,digital,1.1,Brazil,Brazil - personal computer - households with a computer - %,Brazil - digital skills - aggregate of 3 time series: VoIP/messaging; content creation; programming - % of individuals doing activity X,personal computer,digital skills,%,% of individuals doing activity X,households with a computer,aggregate of 3 time series: VoIP/messaging; content creation; programming,2092.8072425874893,36.01889039918895,109907.66923096777,0.29231299220216633,0.23165410581949486,0.0,-21.89999999999941,3.1934502505368636
47,Original data,digital,1.1,Brazil,Brazil - personal computer - households with a computer - %,Brazil - e-commerce - Individuals purchasing or ordering goods or services - %,personal computer,e-commerce,%,%,households with a computer,Individuals purchasing or ordering goods or services,2082.244713644606,27.995051257182393,268566.9974421732,0.32917731879353485,0.2642589948058124,0.0,-12.499999999999318,1.8660462198054997
48,Original data,digital,1.1,Brazil,Brazil - personal computer - households with a computer - %,Brazil - e-government - Taking part in online consultations or voting to define civic or political issues (% of individuals in last 3 months) - %,personal computer,e-government,%,%,households with a computer,Taking part in online consultations or voting to define civic or political issues (% of individuals in last 3 months),2050.9230522784446,13.949154089692867,25101.037284138285,0.31954686742100213,0.22233927705257395,0.0,,
49,Original data,digital,1.1,Brazil,Brazil - personal computer - households with a computer - %,Brazil - email - Individuals who sent e-mails with attached files in the last 3 months - %,personal computer,email,%,%,households with a computer,Individuals who sent e-mails with attached files in the last 3 months,2012.1996483336106,0.26508324136112815,13.09799277353093,0.26938157269215324,0.19867656359784547,0.0,-436.39999999999964,17.12654158069005
50,Original data,digital,1.1,Brazil,Brazil - personal computer - households with a computer - %,Brazil - household internet access - Fixed broadband subscriptions (per 100 people) - %,personal computer,household internet access,%,%,households with a computer,Fixed broadband subscriptions (per 100 people),2006.807177578709,12.956389560580854,0.3096558175040041,0.38377926249387107,0.34269787999346246,0.0,-9.399999999999181,1.6491844184649505
51,Original data,digital,1.1,Brazil,Brazil - personal computer - households with a computer - %,Brazil - mobile broadband - aggregate of 2 time series: 3G coverage; 4G coverage - % of population covered by at least a {3G/4G} mobile network (%),personal computer,mobile broadband,%,% of population covered by at least a {3G/4G} mobile network (%),households with a computer,aggregate of 2 time series: 3G coverage; 4G coverage,2009.0471291080798,3.2181593523723198,46.114454755327756,0.18123828859537472,0.10899460817731954,0.0,-3.2999999999985903,0.48230381491641755
52,Original data,digital,1.1,Brazil,Brazil - personal computer - households with a computer - %,Brazil - mobile/cellphone - aggregate of 3 time series: subscriptions; phone use; phone ownership - % of individuals who own/use/subscribe mobile cellular telephone,personal computer,mobile/cellphone,%,% of individuals who own/use/subscribe mobile cellular telephone,households with a computer,aggregate of 3 time series: subscriptions; phone use; phone ownership,2005.357245912596,10.600020696756063,51.400590928620296,0.22040853304014474,0.17709789598681946,0.2220635058564059,0.20000000000027285,0.7577012079909983
53,Original data,digital,1.1,Brazil,Brazil - personal computer - households with a computer - %,Brazil - personal computer - households with a computer - %,personal computer,personal computer,%,%,households with a computer,households with a computer,2005.3257614007148,12.313297695160367,0.44860002441666247,0.8916910295438982,0.8745896131560926,0.8916910295438982,0.0,1.0
54,Original data,digital,1.1,Brazil,Brazil - social media - Individuals who participated in social networks in the last 3 months - %,Brazil - cloud computing & SaaS - International bandwith usage (Mb/s/cap) NORMALISED to sample MAX=1) - Mb/s/cap NORMALISED TO SAMPLE MAX,social media,cloud computing & SaaS,%,Mb/s/cap NORMALISED TO SAMPLE MAX,Individuals who participated in social networks in the last 3 months,International bandwith usage (Mb/s/cap) NORMALISED to sample MAX=1),2017.3501298593405,9.265062464463718,73.69932263761832,0.7763722600748416,0.7515247334164907,0.0,4.600000000000364,0.0700962695547533
55,Original data,digital,1.1,Brazil,Brazil - social media - Individuals who participated in social networks in the last 3 months - %,Brazil - digital (non-cash) payments - Individuals using internet banking (within last 3 months) - %,social media,digital (non-cash) payments,%,%,Individuals who participated in social networks in the last 3 months,Individuals using internet banking (within last 3 months),2017.0279811550402,20.261898917018016,70.85193344867166,0.5228106674867505,0.4512322676097631,0.0912272620183817,-8.600000000000591,0.6801264899051322
