Code,Innovation Name,Spatial Scale,Indicator Number,Indicator Name,Description,Metric,Category,slope_log,slope_exp,slope_lin,log_t0,log_Dt,log_K,exp_a,exp_c,lin_intercept,log_r2,log_r2adj,log_rmse,log_mae,exp_r2,exp_r2adj,exp_rmse,exp_mae,lin_r2,lin_r2adj,lin_rmse,lin_mae,n_data_points,n_non_zero_data_points,max_over_K,min_over_K,range_over_k,length_trimmed_series_years,n_data_points_beyond_max,n_data_points_beyond_min,suspected_reversal_up2down,suspected_reversal_down2up,at_least_one_big_jump,autocorr_l1,all_values_less_than_or_equal_to_1,all_values_less_than_or_equal_to_100,C1_R2,C2_threshold_non_zero_value_years,C3_pct_non_zero,C4_less_than_250_jump_in_second_half,C4_less_than_80_fall_in_second_half,C4_combined_less_than_80_fall_and_250_jump_in_second_half,C5_volatility_autocorrelation_lag1_threshold_0.7,C6_{K_COVERAGE_THRESHOLD}_of_k_covered_by_data,C7_lin_r2,use_log,use_lin
act_ams_1.1Ado_d121_m90,active mobility,Amsterdam,1.1,Adoption over time,Modal share of all trips by residents (bike),% trips by bike,b7,-0.0023618,-0.0023613,-0.056291,-1568.7,-1860.6,1.1022e+05,28.368,1930.6,136.72,0.17886,-0.31382,3.044,2.7427,0.17886,-0.094847,3.044,2.7427,0.16499,-0.11334,3.0696,2.7808,9,9,0.00028124,0.00018145,9.9796e-05,84,8,2,0,0,0,0.84023,0,1,n,y,y,y,y,y,y,m,m,n,m
act_ams_1.1Ado_d122_m91,active mobility,Amsterdam,1.1,Adoption over time,Modal share of all trips by residents (walk),% trips by walking,b7,-0.0042183,-0.0042167,-0.10874,105.76,-1041.8,69990,44.186,1852.2,241.24,0.1654,-0.33536,6.0446,4.5685,0.1654,-0.1128,6.0446,4.5681,0.15869,-0.12175,6.0688,4.5795,9,9,0.00050007,0.00017145,0.00032862,84,8,7,0,1,1,0.78584,0,1,n,y,y,y,y,y,y,m,m,n,m
act_ams_1.1Ado_d63_m28,active mobility,Amsterdam,1.1,Adoption over time,Bike ownership,%,b7,-0.016915,0.0054776,0.38502,4074.6,-259.8,69.857,12.342,1684.8,-700.56,-3.1086e-15,-1,3.9071,3.0204,0.78529,0.67794,1.8104,1.7715,0.79629,0.69443,1.7635,1.7232,7,7,1.0736,0.88753,0.18609,29,1,6,0,0,0,0.86693,0,1,n,y,y,y,y,y,y,m,y,n,y
act_bei_1.1Ado_d60_m28,active mobility,Beijing,1.1,Adoption over time,Bicycle modal share,%,b7,-0.16166,-0.034222,-1.425,2004.6,-27.183,56.684,72.766,1977.8,2885.2,1,1,4.6662e-12,3.7209e-12,0.92706,-inf,3.4213,3.0574,0.96449,-inf,2.3871,2.21,3,3,0.95317,0.40576,0.54742,22,2,0,0,0,0,0.60149,0,1,y,m,y,y,y,y,m,y,y,m,m
act_chi_1.1Ado_d61_m2,active mobility,China,1.1,Adoption over time,Bicycle ownership,# bikes per hundred households,b7,0.1493,0.020393,2.6286,1980.8,29.433,156.33,3.2132,1817.8,-5121,0.31082,-inf,51.343,50.265,0.20425,-1.3873,55.17,49.509,0.23213,-1.3036,54.195,50.322,4,4,1.2612,0.14636,1.1148,30,1,2,1,1,1,0.47132,0,0,m,m,y,m,y,m,m,y,m,m,m
act_chi_3.2Adc_d62_m3,active mobility,China,3.2,Adopter characteristics,Bicycle ownership among income groups,# bikes per hundred households (highest 10% income),b7,-0.25046,-0.017188,-3.0744,2008,-17.546,187.66,280.33,1964.3,6300.3,0.82934,-inf,12.667,10.676,0.51703,-0.4489,21.309,19.229,0.56489,-0.30533,20.226,18.246,4,4,1.0823,0.62878,0.45352,21,2,0,1,0,0,0.78003,0,0,y,m,y,y,y,y,y,y,y,m,m
act_chi_3.2Adc_d62_m4,active mobility,China,3.2,Adopter characteristics,Bicycle ownership among income groups,# bikes per hundred households (lowest 10% income),b7,-4.0402,-0.0083411,-1.3736,2006.2,-1.0877,157.06,227.52,1941.8,2886.7,0.61758,-inf,16.895,12.122,0.12506,-1.6248,25.555,25.04,0.14203,-1.5739,25.306,24.861,4,4,1.1498,0.68431,0.46548,21,2,0,1,0,0,0.80089,0,0,m,m,y,y,y,y,y,y,m,m,m
act_chi_3.2Adc_d62_m5,active mobility,China,3.2,Adopter characteristics,Bicycle ownership among income groups,# bikes per hundred households (middle income groups),b7,-0.35803,-0.013207,-2.4015,2007.8,-12.274,181.57,267.65,1958.3,4957,0.75315,-inf,14.824,11.463,0.32729,-1.0181,24.472,23.3,0.364,-0.90799,23.795,22.74,4,4,1.1186,0.65538,0.46323,21,2,0,1,0,0,0.79113,0,0,y,m,y,y,y,y,y,y,y,m,m
act_chi_4.1Kso_d213_m100,active mobility,China,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,b7,2.095,0.076912,3.6253,2013.4,2.0976,61.747,0.65739,1963.6,-7267.6,0.79934,0.76393,14.129,9.9399,0.36338,0.29265,25.166,21.242,0.48439,0.4271,22.649,17.771,21,20,1.6195,0.017461,1.602,21,8,20,1,0,1,0.93024,0,1,y,y,y,y,y,y,y,y,y,y,y
act_cop_1.1Ado_d121_m90,active mobility,Copenhagen,1.1,Adoption over time,Modal share of all trips by residents (bike),% trips by bike,b7,0.014241,0.014241,0.33675,2726.5,308.58,7.7461e+05,6.4192,1904.9,-648.34,0.784,-inf,1.8985,1.8338,0.784,0.35201,1.8985,1.8338,0.7454,0.23619,2.0612,2.0026,4,4,4.1311e-05,2.8401e-05,1.291e-05,28,0,3,0,0,0,0.7008,0,1,y,m,y,y,y,y,y,m,y,m,m
